Name,url,Bias
Bring Me The News,https://bringmethenews.com/,center
Bullshido,https://www.bullshido.net/,center
Burnett County Sentinel,http://www.burnettcountysentinel.com,center
Business 2 Community,http://www.business2community.com/,center
C-SPAN,https://www.c-span.org/,center
Cable Public Affairs Channel (CPAC),https://www.cpac.ca/en/,center
Cape Cod Times,http://www.capecodtimes.com,center
Capitol Fax,https://capitolfax.com,center
Casper Star-Tribune,https://trib.com/,center
Castanet,https://www.castanet.net/,center
CBS Philly (KYW-TV),https://philadelphia.cbslocal.com/,center
Center for Democracy and Technology,https://cdt.org,center
Center for Responsive Politics (Open Secrets),http://www.opensecrets.org/,center
Center for Strategic and International Studies,https://www.csis.org/,center
Channel News Asia (CNA),https://www.channelnewsasia.com/,center
Charity Navigator,https://www.charitynavigator.org/,center
Times Free Press,https://www.timesfreepress.com,center
Chinook Observer,http://www.chinookobserver.com,center
Christian Science Monitor,http://www.csmonitor.com/,center
Cincinnati Enquirer,http://www.cincinnati.com/,center
Clarinda Herald-Journal,https://oanow.com/,center
CNET,https://www.cnet.com/,center
Committee for Economic Development,https://www.ced.org/,center
Committee to Protect Journalists,https://www.cpj.org/,center
Community Impact,https://communityimpact.com/,center
Concord Independent Tribune,https://independenttribune.com/,center
Concord Monitor,http://www.concordmonitor.com,center
Congress.gov,https://www.congress.gov/,center
Congressional Budget Office (CBO),https://www.cbo.gov/,center
Constitution Daily,https://constitutioncenter.org,center
Consumer Reports,https://www.consumerreports.org,center
Consumerist,https://consumerist.com/,center
Cook Political Report,http://cookpolitical.com/,center
Corriere Della Sera,https://www.corriere.it/,center
Coronavirus.gov,https://www.coronavirus.gov/,center
Council on Foreign Relations,https://www.cfr.org/,center
Countable,https://www.countable.us,center
Country Living,https://www.countryliving.com/,center
Courthouse News Service,https://www.courthousenews.com,center
The Covid Tracking Project,https://covidtracking.com/,center
CP24,https://www.cp24.com/,center
Crains Detroit,https://www.crainsdetroit.com/,center
CTV News,https://www.ctvnews.ca/,center
D.C. Circuit Breaker,https://dccircuitbreaker.org,center
Daily Business Review,https://www.law.com/dailybusinessreview/,center
Daily Camera,https://www.dailycamera.com,center
Daily Journal (Illinois),http://www.daily-journal.com,center
Daily Journal (Missouri),https://dailyjournalonline.com,center
Daily Maverick,https://www.dailymaverick.co.za/,center
Daily Nonpareil,https://nonpareilonline.com/,center
Daily Record,http://www.dailyrecord.com/,center
Darien Times,http://www.darientimes.com/,center
Dayton Daily News,https://www.daytondailynews.com,center
Defense News,https://www.defensenews.com,center
Defense One,https://www.defenseone.com/,center
Del Rio News-Herald,http://delrionewsherald.com,center
Denison Bulletin Review,https://dbrnews.com/,center
Denton Record-Chronicle,https://www.dentonrc.com,center
The Des Moines Register,https://www.desmoinesregister.com/,center
Detik.com,https://www.desmoinesregister.com/,center
DifferenceBetween.net,http://www.differencebetween.net,center
Digi24,http://www.differencebetween.net,center
Digital Journal,https://www.digitaljournal.com/,center
Dispatch – Argus,https://oanow.com/,center
D Magazine,https://www.dmagazine.com/,center
Doctors Without Borders,https://www.doctorswithoutborders.org/,center
Dothan Eagle,https://dothaneagle.com/,center
DPA German Press Agency,https://www.dpa.com/,center
Duluth News Tribune,https://www.duluthnewstribune.com,center
Eagle Tribune,https://www.eagletribune.com/,center
Eastern Daily Press (UK),https://www.edp24.co.uk/,center
East Idaho News,https://www.eastidahonews.com/,center
Eat This Not That,https://www.eatthis.com/,center
Eau Claire Leader-Telegram,https://www.leadertelegram.com/,center
Elko Daily Free Press,https://elkodaily.com/,center
El Nuevo Dia,https://www.elnuevodia.com/english/,center
Erie Times-News,http://www.goerie.com,center
ERR News (Estonia Public Broadcasting),https://news.err.ee/,center
Eurasia Group,https://www.eurasiagroup.net/,center
Every CRS Report,https://www.everycrsreport.com/,center
FactCheck.org,http://www.factcheck.org/,center
Factwire News Agency,https://www.factwire.org/english,center
Fayetteville Observer,https://www.fayobserver.com/,center
Federal News Network,https://federalnewsnetwork.com/,center
Federal Times,https://www.federaltimes.com/,center
Financial Times,https://www.ft.com/,center
First Coast News,https://www.firstcoastnews.com/,center
First Draft News,https://firstdraftnews.org/,center
Florida Politics,https://firstdraftnews.org/,center
Florida Times-Union,https://www.jacksonville.com/,center
Foreign Affairs,https://www.foreignaffairs.com/,center
Foreign Policy,https://foreignpolicy.com/,center
Foster’s Daily Democrat,https://www.fosters.com/,center
FourStatesHomepage.com,https://www.fourstateshomepage.com/,center
France24,https://www.france24.com/en,center
Full Fact (UK),https://fullfact.org/,center
Gallup,https://news.gallup.com,center
Geek.com,https://www.geek.com,center
Global Integrity,https://www.globalintegrity.org/,center
Global Slavery Index,https://www.globalslaveryindex.org,center
Globe Gazette (Iowa),http://globegazette.com,center
GoodNewsNetwork,https://www.goodnewsnetwork.org/,center
US Government Accountability Office (GAO),https://www.gao.gov,center
GovTrack,https://www.govtrack.us/,center
Great Falls Tribune,https://www.greatfallstribune.com,center
Green Bay Press-Gazette,https://www.greenbaypressgazette.com,center
Greenville News,https://www.greenvilleonline.com/,center
Ground News,https://ground.news/,center
Group of Thirty,https://group30.org/,center
Hanford Sentinel,https://hanfordsentinel.com,center
Harvard Business Review,https://hbr.org,center
Harvard Gazette,https://news.harvard.edu/,center
Hastings Tribune,http://www.hastingstribune.com,center
Healthcare Finance News,https://www.healthcarefinancenews.com/,center
Herald & Review (Illinois),https://herald-review.com,center
Heterodox Academy,https://heterodoxacademy.org,center
Hickory Daily Record,https://hickoryrecord.com/,center
Homeland Security News Wire,http://www.homelandsecuritynewswire.com,center
HowStuffWorks,https://www.howstuffworks.com/,center
How-To Geek,https://www.howtogeek.com,center
I24 News,https://www.i24news.tv,center
ICitizen,https://icitizen.com,center
Idaho Statesman,http://www.idahostatesman.com,center
iMediaEthics,https://www.imediaethics.org,center
Inc. Magazine,https://www.inc.com/,center
Independent Record (Montana),https://helenair.com/,center
Independent Voter Network (IVN),https://ivn.us/,center
IndexMundi,https://www.indexmundi.com/,center
Indianapolis Star,https://www.indystar.com/,center
Inland Valley Daily Bulletin,https://www.dailybulletin.com,center
Institute for Women’s Policy Research (IWPR),https://iwpr.org,center
International Consortium of Investigative Journalists,https://www.icij.org/,center
International Energy Agency (IEA),https://www.iea.org/,center
International Organization,https://www.cambridge.org/core/journals/international-organization,center
International Press Institute,https://ipi.media/,center
International Rescue Committee (IRC),https://www.rescue.org/,center
Investigative Reporters and Editors,https://www.ire.org/,center
Investing.com,https://www.investing.com/,center
Investopedia,https://www.investopedia.com,center
Jackson Sun,https://www.jacksonsun.com,center
Janes Information Group,https://www.janes.com/,center
Japan Times,https://www.japantimes.co.jp/,center
Jewish Telegraphic Agency (JTA),https://www.jta.org/,center
Journal Gazette,http://www.journalgazette.net/,center
Justice Denied,http://justicedenied.org,center
KAIT8-TV,https://www.kait8.com/,center
KARE11,https://www.kare11.com/,center
KARK – Little Rock News,https://www.kark.com/,center
KATH – Juneau,https://www.alaskasnewssource.com/,center
KAUU – Anchorage,https://www.alaskasnewssource.com/,center
KBMT – 12NewsNow,https://www.12newsnow.com/,center
KBTX News 3,https://www.kbtx.com/,center
KCCI Des Moines,https://www.kcci.com/,center
KCRG News,https://www.kcrg.com/,center
KCRA 3,https://www.kcra.com/,center
KCTV5,https://www.kctv5.com/,center
KDAF – CW33,https://cw33.com/,center
KDKA – CBS Pittsburgh,https://pittsburgh.cbslocal.com/,center
KDVR-TV,https://kdvr.com/,center
KERO – 23ABC,https://www.turnto23.com/,center
KETV,https://www.ketv.com/,center
KFSM – Fort Smith-Fayetteville News,https://www.12news.com/,center
KGNS News,https://www.kgns.tv/,center
KGPE – Fresno News,https://www.yourcentralvalley.com/,center
KGWN – Wyoming News Now,https://www.wyomingnewsnow.tv/,center
KHON – Honolulu News,https://www.khon2.com/,center
KIAH – CW39,https://cw39.com/,center
Kiplinger,https://www.kiplinger.com/,center
KIRO 7,https://www.kiro7.com/,center
KITV,https://www.kitv.com/,center
KKTV 11 News,https://www.kktv.com/,center
KLAS – Las Vegas News,https://www.8newsnow.com/,center
KLRT – Little Rock News,https://www.fox16.com/,center
KMOV,https://www.kmov.com/,center
KNOP TV,https://www.knopnews2.com/,center
Know Your Meme,https://knowyourmeme.com/,center
Knowhere,https://knowherenews.com,center
Knoxville News Sentinel,https://www.knoxnews.com,center
KOAM News Now,https://www.koamnewsnow.com/,center
KOIN – Portland,https://www.koin.com/,center
KOLD News 13,https://www.kold.com/,center
KOLO 8 News Now,https://www.kolotv.com/,center
Kompas.com,https://inside.kompas.com/,center
KRON 4,https://www.kron4.com/,center
KRQE – Albuquerque,https://www.krqe.com/,center
KSEE – Fresno News,https://www.yourcentralvalley.com/,center
KSL-TV,https://www.ksl.com/,center
KSNB Channel 4,https://www.ksnblocal4.com/,center
KSNW – Wichita News,https://www.ksn.com/,center
KSPR – KY3.com,https://www.ky3.com/,center
KSTP-TV,https://kstp.com/,center
KSWB – Fox5 – San Diego,https://fox5sandiego.com/,center
KTAB – Abilene News,https://www.bigcountryhomepage.com/,center
KTLA,https://ktla.com/,center
KTUU-TV,https://www.alaskasnewssource.com/,center
KTVA 11,https://www.ktva.com/,center
KTVI – St. Louis,https://fox2now.com/,center
KTVU Fox 2,https://www.ktvu.com/,center
KTVX – Salt Lake City News,https://www.abc4.com/,center
KTXL – Sacramento News,https://fox40.com/,center
KUBD – Ketchikan,https://www.alaskasnewssource.com/,center
KWQC News,https://www.weau.com/,center
KWTV-News9,https://www.news9.com/,center
KXAN – Austin News,https://www.kxan.com/,center
KXII News12,https://www.kxii.com/,center
KYMA – Yuma,https://kyma.com/,center
Le Devoir,http://www.ledevoir.com/,center
La Libre,https://www.lalibre.be/,center
Lansing State Journal,https://www.lansingstatejournal.com,center
Las Cruces Sun-News,https://www.lcsun-news.com,center
Law.com,https://www.lcsun-news.com,center
Law360,https://www.law360.com/,center
Lawfare Blog,https://www.lawfareblog.com/,center
Lead Stories,https://leadstories.com/,center
Lebanon Daily News,https://www.ldnews.com/,center
Le Soir,https://www.ldnews.com/,center
Lincoln Journal Star,https://journalstar.com/,center
LNP (LancasterOnline),https://lancasteronline.com/,center
Logically,https://www.logically.ai/,center
Lompoc Record,http://lompocrecord.com/,center
Longview News-Journal,https://www.news-journal.com,center
Loveland Reporter-Herald,https://www.reporterherald.com/,center
MakeUseOf,https://www.makeuseof.com/,center
MediaPost,https://www.mediapost.com/,center
Memeorandum,http://www.memeorandum.com/,center
Memphis Commercial Appeal,https://www.commercialappeal.com/,center
Mental Floss,http://mentalfloss.com/,center
Meriden Record-Journal,https://www.myrecordjournal.com/,center
Merion West,https://merionwest.com/,center
MetroWest Daily News,https://www.metrowestdailynews.com,center
NewsNation Now,https://www.newsnationnow.com/,center
Military.com,https://www.military.com/,center
Military Times,https://www.militarytimes.com,center
Missoulian,https://missoulian.com/,center
MLive (Michigan – Advance Newspapers),https://www.mlive.com/,center
Montana Standard,https://mtstandard.com/,center
Morning Consult,https://morningconsult.com/,center
Muscatine Journal,https://muscatinejournal.com/,center
Napa Valley Register,http://napavalleyregister.com,center
National Bureau of Economic Research (NBER),http://www.nber.org/,center
National Conference of State Legislatures (NCSL),http://www.ncsl.org,center
National Institute on Money in Politics,https://www.followthemoney.org/,center
National Journal,https://www.nationaljournal.com/,center
NationMaster,https://www.nationmaster.com/,center
Navy Times,https://www.navytimes.com/,center
Need 2 Know,https://cheddar.com/need2know,center
New Bern Sun Journal,https://www.newbernsj.com/,center
New England Cable News (NECN),https://www.necn.com/,center
New Zealand Herald,http://www.nzherald.co.nz,center
News and News,https://newsandnews.com/,center
News Channel 4 (KFOR.com),https://kfor.com/,center
News Facts Network (NFN),https://kfor.com/,center
News Lookup,http://www.newslookup.com,center
News24 (South Africa),"Source: News24.com is an English-language South African online news publication created in October 1998 by the multinational media company, Naspers.  News24 covers local and international news, politics, business, entertainment, technology, and sport. News24 covers USA news and most international news with minimal bias.",center
Newsela,https://newsela.com/,center
Newsguard,https://www.newsguardtech.com/,center
NewsNet (YourNewsNet.com),http://yournewsnet.com,center
NewsNow (UK),https://www.newsnow.co.uk/,center
New Straits Times,https://www.nst.com.my/,center
NewzJunky.com,https://www.nst.com.my/,center
NextGov,http://www.nextgov.com/,center
NK News,https://www.nknews.org,center
No Labels,https://www.nolabels.org/,center
Noozhawk,https://www.noozhawk.com/,center
Norfolk Daily News,http://norfolkdailynews.com,center
North Korea Times,https://www.northkoreatimes.com,center
Northwest Florida Daily News,https://www.nwfdailynews.com/,center
Northwest Indiana Times,http://www.nwitimes.com,center
Novinite,https://www.novinite.com/,center
OilPrice,https://oilprice.com,center
Opelika Auburn News,https://oanow.com/,center
Oyez Project,https://www.oyez.org,center
Pacific Daily News,https://www.guampdn.com/,center
Patch,https://patch.com/,center
Patheos,https://www.patheos.com/,center
Pensacola News Journal,https://www.pnj.com,center
Peoria Journal Star,https://www.pjstar.com/,center
Peterson Foundation,http://www.pgpf.org/,center
Peterson Institute for International Economics,https://piie.com/,center
Pew Research,https://www.pewresearch.org/,center
Places Journal,https://placesjournal.org/,center
Pocono Record,http://www.poconorecord.com/,center
Political Wire,https://politicalwire.com,center
Polygraph.info,https://www.polygraph.info/,center
Poynter Institute,https://www.poynter.org,center
PR Newswire,https://www.prnewswire.com/,center
ProCon.org,https://www.procon.org/,center
Public Policy Polling (PPP),http://www.publicpolicypolling.com/,center
Public Religion Research Institute (PRRI),http://www.prri.org/,center
Punchbowl News,https://punchbowl.news/,center
Quad City Times,http://qctimes.com/,center
Audacy,https://www.audacy.com/,center
Radio Free Europe / Radio Liberty,https://www.rferl.org,center
Rand Corporation,https://www.rand.org,center
Rapid City Journal,https://rapidcityjournal.com/,center
Rare News,https://rare.us/,center
Recode,https://www.recode.net/,center
Record Searchlight,https://www.redding.com/,center
Reporters Without Borders,https://rsf.org/en,center
Reporters Lab,https://reporterslab.org/,center
Reuters,https://www.reuters.com,center
RFI (Radio France Internationale),http://www.rfi.fr/en/,center
RiverBender.com,https://www.riverbender.com/,center
Riverdale Press,https://riverdalepress.com/,center
Roanoke Times,https://riverdalepress.com/,center
RocaNews,https://www.rocanews.com/,center
Roll Call,https://www.rollcall.com,center
RTE (Radio Television of Ireland),https://www.rte.ie,center
San Diego Union Tribune,https://www.sandiegouniontribune.com,center
San Marcos Daily Record,https://www.sanmarcosrecord.com,center
Santa Maria Times,http://santamariatimes.com,center
Sarasota Herald-Tribune,http://www.heraldtribune.com/,center
Sayfie Review,https://www.sayfiereview.com/,center
Science Debate,https://sciencedebate.org/,center
Scoopnest,https://www.scoopnest.com/,center
SCOTUSblog,https://www.scotusblog.com/,center
Shareably,http://www.shareably.net/,center
Shenandoah Valley News,https://valleynewstoday.com/,center
Shorenstein Center,https://shorensteincenter.org/,center
Shreveport Times,https://www.shreveporttimes.com,center
Simple Politics,https://www.simplepolitics.co.uk/,center
Sioux City Journal,https://siouxcityjournal.com/,center
Sky News UK,https://news.sky.com,center
SmartNews,https://www.smartnews.com/en/,center
South Bend Tribune,https://www.southbendtribune.com/,center
South Florida Sun-Sentinel,https://www.sun-sentinel.com/,center
Spectrum News Local,https://spectrumlocalnews.com/splash,center
Spectrum News – NY1,http://www.ny1.com/nyc/all-boroughs,center
Spectrum Report,https://spectrumreport.com/,center
Spotlight PA,https://www.spotlightpa.org/,center
St. Cloud Times,https://www.spotlightpa.org/,center
Stars and Stripes,https://www.stripes.com/,center
Staten Island Advance,https://www.silive.com/,center
Statesman Journal,http://www.statesmanjournal.com/,center
Statesville Record & Landmark,https://www.statesville.com,center
Statista,https://www.statista.com,center
Stimson Center,https://www.stimson.org/,center
StrategyPage,https://www.strategypage.com,center
Stratfor,https://www.stratfor.com/,center
Taipei Times,https://www.taipeitimes.com/,center
Task and Purpose,https://taskandpurpose.com/,center
TechSpot,https://www.techspot.com/,center
Telegram & Gazette,https://www.telegram.com,center
Texas Standard,https://www.texasstandard.org/,center
That’s Nonsense,http://www.thatsnonsense.com/,center
The Auburn Citizen,http://auburnpub.com/,center
The Australian Financial Review,http://www.afr.com/,center
The Balance,https://www.thebalance.com,center
Battlefords News Optimist,https://www.newsoptimist.ca/,center
The Canadian Press,https://www.thecanadianpress.com/,center
The Cipher Brief,https://www.thecipherbrief.com/,center
The Columbian,https://www.columbian.com/,center
The Constitution,https://constitution.com/,center
The Conversation,https://theconversation.com/us,center
The Daily Chronicle,https://www.daily-chronicle.com,center
The Daily Gazette,https://dailygazette.com,center
The Daily News (Longview),https://tdn.com,center
The Daily Northwestern,https://dailynorthwestern.com,center
The Daily Progress,http://www.dailyprogress.com,center
The Defcon Warning System,https://www.defconwarningsystem.com,center
The Diplomat Magazine,https://thediplomat.com,center
The Economist,https://www.economist.com/,center
The Flip Side,https://www.theflipside.io/,center
The Herald Journal (Utah),https://www.hjnews.com/,center
The Herald News (Massachusetts),https://www.heraldnews.com,center
The Herald-Dispatch,http://www.herald-dispatch.com,center
"The Herald-Sun (Durham, North Carolina)",https://www.heraldsun.com,center
The Hill,https://thehill.com/,center
The Jamestown Foundation,https://jamestown.org/,center
The Jordan Times,http://www.jordantimes.com/,center
Journal Standard,https://www.journalstandard.com,center
The Macon Telegraph,https://www.macon.com,center
The Marietta Times,https://www.mariettatimes.com/,center
The Marshall Project,https://www.themarshallproject.org/#.qjbbuljBK,center
The Meme Policeman,http://memepoliceman.com/,center
The Moderated Media,https://www.themoderatedmedia.com,center
The Modesto Bee,https://www.modbee.com/,center
The Monitor (Texas),https://www.themonitor.com,center
The Morning Call,https://www.mcall.com/,center
The Nevada Independent,https://thenevadaindependent.com,center
The News (Mexico City),https://www.thenews.mx/,center
The News Literacy Project,https://newslit.org/,center
The Outlook (Monmouth University),http://outlook.monmouth.edu/,center
The Post and Courier,https://www.postandcourier.com/,center
The Post Star,http://poststar.com,center
The Post-Standard (Syracuse),https://www.syracuse.com,center
The Record (Stockton),https://www.recordnet.com/,center
The Register UK,https://www.theregister.com/,center
The Republic (Indiana),http://www.therepublic.com,center
The Republican (Masslive.com),https://www.masslive.com,center
The Salinas Californian,https://www.thecalifornian.com/,center
The Scotsman,https://www.scotsman.com/,center
The Sentinel (Pennsylvania),http://cumberlink.com,center
The Smoking Gun,http://www.thesmokinggun.com/,center
The Sociable,https://sociable.co/,center
The Southern Illinoisan,http://thesouthern.com,center
The Star Democrat,http://www.stardem.com,center
The Strategy Bridge,https://thestrategybridge.org,center
The Tennessean,https://www.tennessean.com/,center
The Times (Illinois),http://www.mywebtimes.com,center
The Times and Democrat,http://thetandd.com,center
The Town Talk,https://www.thetowntalk.com,center
The Vindicator,https://www.vindy.com/,center
The Waterloo-Cedar Falls Courier,http://wcfcourier.com,center
ZDF (Zweites Deutsches Fernsehen),https://www.zdf.de/,center
Third Way,https://www.thirdway.org/,center
ThoughtCo,https://www.thoughtco.com,center
Times of San Diego,https://timesofsandiego.com/,center
Times-News (Idaho),http://magicvalley.com/,center
Today I Found Out,http://www.todayifoundout.com/,center
Transparency International,https://www.transparency.org/,center
Transpartisan Review,http://www.transpartisanreview.com/,center
Traverse City Record-Eagle,https://www.record-eagle.com,center
Tribune Content Agency,https://tribunecontentagency.com/tribune-news-service/,center
Tri-City Herald,https://www.tri-cityherald.com/,center
TruthOrFiction.com,https://www.truthorfiction.com/,center
Tut.by,https://www.tut.by/,center
TVW Washington State,https://www.tut.by/,center
Twiner-Herald,https://loganwoodbine.com/,center
United Press International (UPI),https://www.upi.com,center
United States House of Representatives (House.gov),https://www.house.gov/,center
USA Spending,https://www.usaspending.gov/,center
USA Facts,https://usafacts.org/,center
Utah Standard-Examiner,https://www.standard.net/,center
Viral Thread,http://www.viralthread.com/,center
Voice of America,https://www.voanews.com,center
Vos Iz Neias,https://www.vosizneias.com,center
Vote Smart,https://justfacts.votesmart.org/,center
WABI – Bangor News,https://www.wabi.tv/,center
Waco Tribune-Herald,https://www.wacotrib.com,center
WAFF – Huntsville,https://www.waff.com/,center
WAGM – Maine News,https://www.wagmtv.com/,center
WALA – Mobile News,https://www.fox10tv.com/,center
WALB – Albany GA,https://www.walb.com/,center
War on the Rocks,https://warontherocks.com/,center
Washington Journal,https://www.c-span.org/series/?washingtonJournal,center
Washington’s Top News (WTOP),https://wtop.com,center
WATE – Knoxville News,https://www.wate.com/,center
WAVE – Louisville News,https://www.wave3.com/,center
WAVY – Norfolk News,https://www.wavy.com/,center
WBAY Action 2 News,https://www.wbay.com/,center
WBKO – Bowling Green,https://www.wbko.com/,center
WBNG – Binghamton,https://wbng.com/,center
WBNS-TV (10tv.com),https://www.10tv.com/,center
WBRC – Birmingham,https://www.wbrc.com/,center
WBRE/WYOU Eyewitness News,https://www.pahomepage.com/,center
WBTV,https://www.wbtv.com/,center
WCAX3,https://www.wcax.com/,center
WCJB – Gainesville,https://www.wcjb.com/,center
WCMH – Columbus,https://www.nbc4i.com/,center
WCSC – Charleston News,https://www.live5news.com/,center
WCTV Eyewitness News,https://www.wctv.tv/,center
WDAF – Kansas City News,https://fox4kc.com/,center
WDAM – Hattiesburg News,https://www.wdam.com/,center
WDBJ – Roanoke,https://www.wdbj7.com/,center
WDIV ClickOnDetroit,https://www.clickondetroit.com/,center
WDTN – Dayton News,https://www.wdtn.com/,center
WDTV – Weston News,https://www.wdtv.com/,center
WDVM – DCW 50,https://www.localdvm.com/,center
We Are The Mighty,https://www.wearethemighty.com/,center
WEAU 13 News,https://www.weau.com/,center
WECT News 6,https://www.wect.com/,center
WENY News,https://www.weny.com/,center
West Virginia Public Broadcasting,https://www.wvpublic.org/,center
WETM,https://www.mytwintiers.com/,center
WFIE – Evansville News,https://www.14news.com/,center
WFLA – Tampa Bay,https://www.wfla.com/,center
WFLX – West Palm Beach,https://www.wflx.com/,center
WFMYnews2.com,https://www.wfmynews2.com/,center
WFMZ,https://www.wfmz.com/,center
WFRV – Green Bay News,https://www.wearegreenbay.com/,center
WGHP Fox8,https://myfox8.com/,center
WGN News,https://wgntv.com/,center
WGNO – New Orleans News,https://wgno.com/,center
WHNT News 19,https://whnt.com/,center
WHO – Des Moines News,https://who13.com/,center
WHSV-TV,https://www.whsv.com/,center
WHTM – Harrisburg News,https://www.abc27.com/,center
WIAT – CBS 42,https://www.cbs42.com/,center
Wichita Eagle,https://www.kansas.com/,center
WILX 10,https://www.wilx.com/,center
WIS – Columbia SC News,https://www.wistv.com/,center
WITN News,https://www.witn.com/,center
WIVB – Buffalo,https://www.wivb.com/,center
WJHG News,https://www.wjhg.com/,center
WKRG News 5,https://www.wkrg.com/,center
WLBT – Jackson News,https://www.wlbt.com/,center
WLOX – Biloxi News,https://www.wlox.com/,center
WMSN – Madison News,https://fox47.com/,center
WMTV News,https://www.weau.com/,center
WNCN – Raleigh,https://www.cbs17.com/,center
WNDU News Now,https://www.wndu.com/,center
WOIO -Cleveland News,https://www.cleveland19.com/,center
WOOD – Grand Rapids News,https://www.woodtv.com/,center
Worcester – Spectrum News,https://spectrumnews1.com/,center
WOWT 6 News,https://www.wowt.com/,center
WPHL 17,https://phl17.com/,center
WTVY News4,https://www.wtvy.com/,center
WikiNews,https://en.wikinews.org/wiki/Main_Page,center
Wikipedia,https://www.wikipedia.org/,center
Winnipeg Free Press,https://www.winnipegfreepress.com/,center
Winona Daily News,http://www.winonadailynews.com,center
Winston-Salem Journal,http://www.journalnow.com/,center
WION (World is One News),https://www.wionews.com/,center
Wisconsin State Journal,https://madison.com/wsj,center
WJZY – Charlotte,https://www.fox46.com/,center
WKRN – Nashville News,https://www.wkrn.com/,center
WKYT News,https://www.wvlt.tv/,center
WLFL – CW 22,https://raleighcw.com/,center
WMC – Memphis News,https://www.actionnews5.com/,center
WMUR9,https://www.wmur.com/,center
WOFL Fox 35 Orlando,https://www.fox35orlando.com/,center
World News,https://wn.com/,center
Worldometers,https://www.worldometers.info/,center
World Politics Review,https://www.worldpoliticsreview.com/,center
World Population Review,http://worldpopulationreview.com/,center
WPIX 11,https://pix11.com/,center
WPRI – Providence,https://www.wpri.com/,center
WPTA – Fort Wayne,https://www.wpta21.com/,center
WPXI,https://www.wpxi.com/,center
WRAL,https://www.wral.com/,center
WRDW – News 12,https://www.wrdw.com/,center
WREG – Memphis,https://www.wreg.com/,center
WRIC – Richmond News,https://www.wric.com/,center
WSAW-TV,https://www.witn.com/,center
WSAZ News Channel,https://www.wsaz.com/,center
WSFA – Montgomery,https://www.wsfa.com/,center
WSMV – Nashville,https://www.wsmv.com/,center
WSPA – Spartanburg News,https://www.wspa.com/,center
WTAE Pittsburgh’s Action News 4,https://www.wtae.com/,center
WTAP – Parkersburg News,https://www.wtap.com/,center
WTEN – Albany News,https://www.news10.com/,center
WTNH – New Haven News,https://www.wtnh.com/,center
WTOK-TV,https://www.wtok.com/,center
WTTV – Indianapolis,https://cbs4indy.com/,center
WTVF – NewsChannel5,https://www.newschannel5.com/,center
WTVG 13 Action News,https://www.13abc.com/,center
